iter	Logloss
0	0.6767230005
1	0.6652393696
2	0.6562104431
3	0.6479276031
4	0.6430640599
5	0.6373489934
6	0.6349597773
7	0.6296783337
8	0.6261322069
9	0.6250106093
10	0.6216864717
11	0.6190375925
12	0.6183596454
13	0.6159270388
14	0.613450007
15	0.6106380896
16	0.6081060557
17	0.6062746313
18	0.6045009999
19	0.6027386961
20	0.6005671991
21	0.597964108
22	0.5950409432
23	0.5925360266
24	0.5908170741
25	0.58826128
26	0.5854274582
27	0.5835662798
28	0.580789742
29	0.5777916522
30	0.5763119939
31	0.5735237151
32	0.5701121452
33	0.5685060499
34	0.5653594789
35	0.5627211219
36	0.5605281171
37	0.5587301172
38	0.5561307079
39	0.5544238066
40	0.5514701774
41	0.5492952415
42	0.5480583638
43	0.5462527363
44	0.5452404439
45	0.5443593423
46	0.5425058207
47	0.5406181212
48	0.5386812648
49	0.5363687645
50	0.5344342905
51	0.5329659217
52	0.5309998093
53	0.529409136
54	0.5281127599
55	0.5259398123
56	0.5244524533
57	0.5226948676
58	0.5211865045
59	0.5188969431
60	0.5170790651
61	0.5145561365
62	0.5132681611
63	0.5116341588
64	0.5094193796
65	0.5082333443
66	0.5068550668
67	0.5043197043
68	0.5025652948
69	0.5011976546
70	0.4994161895
71	0.4978849153
72	0.4961976411
73	0.4947031746
74	0.4929674259
75	0.491157002
76	0.4901461179
77	0.4884462464
78	0.4866003449
79	0.485432275
80	0.4844086466
81	0.4822610982
82	0.481314611
83	0.4789885611
84	0.4766449682
85	0.4750572921
86	0.473460666
87	0.4718114836
88	0.4702624126
89	0.4671200977
90	0.4658065858
91	0.4643846135
92	0.4630262261
93	0.4614994492
94	0.4597228045
95	0.4581506393
96	0.4571923368
97	0.4557372577
98	0.45473366
99	0.4537803833
100	0.452247889
101	0.4512955323
102	0.4499901589
103	0.4487552291
104	0.4473426371
105	0.4457951201
106	0.4438239832
107	0.4425366528
108	0.4408776969
109	0.4389882852
110	0.4376091502
111	0.4365548611
112	0.435095694
113	0.4345653636
114	0.4328723415
115	0.4311155995
116	0.4288248678
117	0.427826289
118	0.4263786541
119	0.4253016956
120	0.4238497384
121	0.4222563368
122	0.4205582032
123	0.4192899663
124	0.4180036794
125	0.4168420748
126	0.4157627169
127	0.4142474269
128	0.4132099417
129	0.4116849292
130	0.4098502392
131	0.4085100922
132	0.407527373
133	0.4059004063
134	0.4047908521
135	0.4035715286
136	0.4029602713
137	0.4007916351
138	0.3999244764
139	0.3985666305
140	0.3975996923
141	0.3955411836
142	0.3946827251
143	0.3940584964
144	0.3929822939
145	0.3918880165
146	0.3901721055
147	0.3885940623
148	0.3874009898
149	0.3852498787
150	0.3841533133
151	0.3832026861
152	0.3815904214
153	0.3805981693
154	0.3797039397
155	0.3788448643
156	0.3783435458
157	0.3771504245
158	0.3757704432
159	0.3744526346
160	0.3732744901
161	0.3717143174
162	0.370354421
163	0.3696162148
164	0.3687908986
165	0.3678268637
166	0.3668618748
167	0.3662296097
168	0.3653882962
169	0.3645733825
170	0.3635038571
171	0.3614542938
172	0.3605502325
173	0.3590634374
174	0.357618966
175	0.3564679725
176	0.3555635536
177	0.3545811803
178	0.3531593269
179	0.3520232866
180	0.3502269413
181	0.3495025674
182	0.3484396684
183	0.347522873
184	0.3467906723
185	0.3456444242
186	0.3452032995
187	0.3441406031
188	0.3432721512
189	0.3422072607
190	0.3413776728
191	0.3399847284
192	0.3388978367
193	0.3380500049
194	0.3366872171
195	0.3360648545
196	0.3353754822
197	0.3339649697
198	0.3327694066
199	0.3320030658
200	0.3308911482
201	0.3299564017
202	0.3290509006
203	0.3282972046
204	0.3277946389
205	0.3264827618
206	0.32527779
207	0.3236004235
208	0.3227817662
209	0.322157821
210	0.3212516195
211	0.3201372928
212	0.3193136687
213	0.3182284474
214	0.3173167102
215	0.3166199472
216	0.3159880878
217	0.3150154809
218	0.3141591865
219	0.3133771064
220	0.3130157452
221	0.3118255074
222	0.3107789898
223	0.3098647962
224	0.3094109985
225	0.3081502841
226	0.3067050631
227	0.3059334097
228	0.3052205546
229	0.3041317366
230	0.3029475839
231	0.3021257061
232	0.3010858132
233	0.3001276928
234	0.2994415413
235	0.2984580305
236	0.2973445085
237	0.2965619373
238	0.2960974046
239	0.2954595729
240	0.2948198293
241	0.2939628576
242	0.2928072504
243	0.2917276837
244	0.2908699335
245	0.2904315266
246	0.289766203
247	0.2886125552
248	0.2878598017
249	0.2868686464
250	0.2865116216
251	0.2859875926
252	0.2848324807
253	0.2844376726
254	0.2836592502
255	0.2829816729
256	0.2825180792
257	0.2816053143
258	0.2808697388
259	0.2799872203
260	0.2791262929
261	0.2781157317
262	0.2775267483
263	0.2768641181
264	0.2759255473
265	0.2748936809
266	0.2742324389
267	0.2735263135
268	0.2730502264
269	0.2719181808
270	0.2709996574
271	0.2700877842
272	0.2696792707
273	0.268952362
274	0.2681457365
275	0.2673115774
276	0.2667388503
277	0.2659832484
278	0.2650757219
279	0.2642080496
280	0.2636844097
281	0.2629390239
282	0.2619320526
283	0.2611078717
284	0.2606851502
285	0.2596088145
286	0.2590744058
287	0.2583114328
288	0.2570174518
289	0.2564719799
290	0.2554008284
291	0.2545959296
292	0.2538236074
293	0.2531714463
294	0.2522891739
295	0.2514246876
296	0.2506191513
297	0.2497892549
298	0.2490832489
299	0.2481002024
300	0.2476534325
301	0.2471374643
302	0.2463654668
303	0.2455453248
304	0.2448121063
305	0.2442224087
306	0.2433294561
307	0.2426776601
308	0.2419698845
309	0.2414106689
310	0.2407694901
311	0.2402836085
312	0.2399266891
313	0.2390260708
314	0.2385130022
315	0.2377504011
316	0.2368009634
317	0.236048903
318	0.235252941
319	0.2348133754
320	0.2344487003
321	0.2336147231
322	0.2330756939
323	0.232124649
324	0.2316445004
325	0.231219784
326	0.2304320545
327	0.2298788956
328	0.2291857043
329	0.2285198883
330	0.2278529539
331	0.2271896522
332	0.2268356544
333	0.2265856944
334	0.2260622842
335	0.2256209408
336	0.2249330623
337	0.2243175899
338	0.2237624889
339	0.2232577545
340	0.2225344917
341	0.2217732001
342	0.2209191632
343	0.2204284835
344	0.2199496734
345	0.2192630194
346	0.2185561238
347	0.2180748572
348	0.2178001083
349	0.2175571607
350	0.2170747885
351	0.216397929
352	0.2161051192
353	0.2155446046
354	0.2150576455
355	0.2146873885
356	0.2144143052
357	0.2140435739
358	0.2135262763
359	0.2129487325
360	0.2124301637
361	0.2117515095
362	0.2113833117
363	0.2105930708
364	0.2100027226
365	0.2095561628
366	0.2088820483
367	0.208328138
368	0.207842656
369	0.2072733084
370	0.2070367213
371	0.2063978827
372	0.2059397883
373	0.205445604
374	0.2049285854
375	0.2044406048
376	0.2038689733
377	0.2032964055
378	0.2026795126
379	0.2023546242
380	0.2018364337
381	0.2009718676
382	0.2001770979
383	0.1995267995
384	0.1987560079
385	0.1981740394
386	0.1977109712
387	0.197120226
388	0.1967713062
389	0.1961169194
390	0.1954371176
391	0.1946462759
392	0.1941053823
393	0.1936887781
394	0.1932227098
395	0.1927495271
396	0.1920755649
397	0.1918385967
398	0.1914215182
399	0.1910597764
400	0.1904332399
401	0.1899399014
402	0.1895079053
403	0.1889994012
404	0.1883125821
405	0.1877725552
406	0.1872130781
407	0.1865127889
408	0.1859133946
409	0.1855038419
410	0.1848369521
411	0.1842765315
412	0.1839126446
413	0.1832890287
414	0.1828688138
415	0.182580301
416	0.1820306893
417	0.1814780238
418	0.1809577874
419	0.1802852435
420	0.179864065
421	0.1793155372
422	0.178726154
423	0.1783393453
424	0.177923769
425	0.177387686
426	0.1769218829
427	0.1766013165
428	0.1763148569
429	0.1758922982
430	0.1756173148
431	0.1752010661
432	0.1747131221
433	0.1743630641
434	0.1737471876
435	0.1732287736
436	0.1728178026
437	0.1722553139
438	0.1717909331
439	0.1714397114
440	0.1711596578
441	0.17064051
442	0.1701065438
443	0.1693995934
444	0.1690106189
445	0.168600475
446	0.1682171369
447	0.1675375412
448	0.1671169937
449	0.1668641075
450	0.1663826163
451	0.1659107714
452	0.1655192709
453	0.1652527786
454	0.165071246
455	0.1644417532
456	0.1642020206
457	0.1638538199
458	0.1635365242
459	0.1631625102
460	0.162565426
461	0.1622151575
462	0.1616789269
463	0.1610999247
464	0.1603830941
465	0.1600052579
466	0.1596819822
467	0.1592860639
468	0.1591057909
469	0.1588504416
470	0.1586881468
471	0.1582158529
472	0.1577342693
473	0.1575366766
474	0.1570773131
475	0.1565764349
476	0.156079794
477	0.1557663563
478	0.1555618597
479	0.1550312291
480	0.1547251589
481	0.1543546337
482	0.1537985709
483	0.1533645005
484	0.1529438508
485	0.1525927364
486	0.1522107939
487	0.1519355299
488	0.1515374694
489	0.1511503441
490	0.1507656541
491	0.1504329118
492	0.1501943894
493	0.1498248354
494	0.1494413627
495	0.1490490153
496	0.1486460806
497	0.148274492
498	0.147979238
499	0.1475721895
