iter	Logloss
0	0.6868232372
1	0.6812479523
2	0.6790048403
3	0.6774025868
4	0.675467853
5	0.6725320739
6	0.6701460169
7	0.6676035114
8	0.6641717018
9	0.6596515844
10	0.6563396937
11	0.6514244735
12	0.649140205
13	0.6454403669
14	0.6424343795
15	0.6405606004
16	0.6372606532
17	0.6339673771
18	0.6318630676
19	0.6303945056
20	0.6280307216
21	0.6270251033
22	0.6247778489
23	0.622523977
24	0.6198861928
25	0.6169584297
26	0.6145240072
27	0.6128663402
28	0.6097849262
29	0.6074836033
30	0.606392982
31	0.604897036
32	0.603371339
33	0.6002559775
34	0.598791289
35	0.5971209792
36	0.5958006345
37	0.5936753433
38	0.5919660289
39	0.5904259675
40	0.5876424406
41	0.5842840135
42	0.5824910949
43	0.5794030096
44	0.5763297731
45	0.5732872559
46	0.5721758143
47	0.5713617756
48	0.5688685503
49	0.5674423284
50	0.5657078359
51	0.5636086912
52	0.5614986252
53	0.5588237731
54	0.5569434843
55	0.5545993371
56	0.5530377021
57	0.5525881543
58	0.5500910555
59	0.5476876752
60	0.5462482724
61	0.5436136622
62	0.5407916688
63	0.5383494454
64	0.536193865
65	0.5352143933
66	0.5339338063
67	0.5323913777
68	0.5305959305
69	0.5288780621
70	0.5268239474
71	0.5241011063
72	0.5224453761
73	0.5200400052
74	0.5195096508
75	0.5177384134
76	0.5165414306
77	0.5145749552
78	0.512995405
79	0.5100934657
80	0.5082421209
81	0.5050354081
82	0.5025251284
83	0.5005970119
84	0.4992685972
85	0.4978859528
86	0.4962951047
87	0.4947632208
88	0.4933634682
89	0.4920554973
90	0.4911226696
91	0.4896405501
92	0.4877906042
93	0.4861742552
94	0.4848368022
95	0.4838504441
96	0.481357703
97	0.479742968
98	0.4778400835
99	0.4759058876
100	0.4748615876
101	0.4731383392
102	0.4711822471
103	0.4691764981
104	0.4675818302
105	0.4656040569
106	0.4636514617
107	0.4621210303
108	0.459847737
109	0.4584104323
110	0.4571226901
111	0.4555365763
112	0.4544342267
113	0.4524140595
114	0.4508555449
115	0.4500170275
116	0.4486999376
117	0.446371204
118	0.4439983817
119	0.4421606482
120	0.4413356614
121	0.4398954247
122	0.4386304396
123	0.4378373558
124	0.4357798249
125	0.4345024121
126	0.4336222002
127	0.4325955464
128	0.4315283009
129	0.4301826974
130	0.4284382251
131	0.427481376
132	0.4263764978
133	0.4253438185
134	0.4239388473
135	0.4224747506
136	0.420946256
137	0.4200642688
138	0.4192111718
139	0.4179266843
140	0.4168975019
141	0.4157464101
142	0.4138708018
143	0.4125510758
144	0.4112721028
145	0.4099786847
146	0.4087897988
147	0.4078491971
148	0.4070766916
149	0.4061606224
150	0.4047638825
151	0.4039081763
152	0.4030212126
153	0.4014086564
154	0.4000597442
155	0.3983260857
156	0.3968470865
157	0.3961270892
158	0.3949065424
159	0.3935505556
160	0.3925948362
161	0.3911116407
162	0.3895921845
163	0.3889950112
164	0.3878751768
165	0.3869290607
166	0.3859656749
167	0.3845857743
168	0.3836941569
169	0.3825929909
170	0.3814967207
171	0.3805135367
172	0.3793064666
173	0.377932457
174	0.3771817941
175	0.3755717396
176	0.3744370835
177	0.3727875672
178	0.3714553866
179	0.3704907635
180	0.3690740371
181	0.3680266436
182	0.3669814559
183	0.3659252931
184	0.3649997283
185	0.364193114
186	0.3631794258
187	0.3625081439
188	0.3610672616
189	0.360093923
190	0.3589547746
191	0.3577596211
192	0.3569710834
193	0.356320837
194	0.3556486405
195	0.3547536875
196	0.3536727232
197	0.352076011
198	0.351522738
199	0.3503430518
200	0.3495913667
201	0.3490334132
202	0.3482219569
203	0.3471605487
204	0.3460922272
205	0.3456458806
206	0.3448355541
207	0.3440010448
208	0.3421873327
209	0.3414560914
210	0.3404425646
211	0.3394588965
212	0.3380127687
213	0.3374950572
214	0.3364548728
215	0.3358136109
216	0.3347349331
217	0.3337148159
218	0.3329507838
219	0.3320936787
220	0.3308732933
221	0.3300520455
222	0.3286472627
223	0.3280264715
224	0.3266877273
225	0.3250590583
226	0.323788747
227	0.3229207207
228	0.3213020852
229	0.3203354177
230	0.3196284399
231	0.3188667211
232	0.3178442368
233	0.3167153103
234	0.3162772756
235	0.3155085361
236	0.3142961129
237	0.313683015
238	0.3128038254
239	0.3118154767
240	0.310916704
241	0.31012744
242	0.3091366435
243	0.3085614741
244	0.3079868428
245	0.3066893897
246	0.3059415244
247	0.3049310372
248	0.3038160986
249	0.3032026241
250	0.3024392645
251	0.3010523968
252	0.3004376312
253	0.2995024632
254	0.2984502547
255	0.2977535525
256	0.296878613
257	0.2963436318
258	0.2950925807
259	0.2944288576
260	0.2938250132
261	0.293113301
262	0.2924576478
263	0.2919283962
264	0.291122293
265	0.290539
266	0.2898110404
267	0.2890179835
268	0.2881535887
269	0.2876058032
270	0.2870698537
271	0.2859351707
272	0.2844666086
273	0.2838234368
274	0.2828819206
275	0.2820273441
276	0.2811405418
277	0.2803357028
278	0.2796144413
279	0.2785576598
280	0.2775850205
281	0.2766030202
282	0.2757383563
283	0.2747501422
284	0.2741713414
285	0.2737990227
286	0.2726320331
287	0.2720449203
288	0.2714070478
289	0.2705768425
290	0.2696421318
291	0.2687022564
292	0.2673008898
293	0.2660847007
294	0.2654201437
295	0.2644115933
296	0.263893021
297	0.2633611064
298	0.2627249285
299	0.2620775604
300	0.2611648268
301	0.2604482189
302	0.2598689877
303	0.2592639597
304	0.2584208156
305	0.2577511746
306	0.2569652999
307	0.2562577034
308	0.2554761596
309	0.254819269
310	0.2542082693
311	0.2535419369
312	0.2524526337
313	0.2516417154
314	0.2508483357
315	0.2501678272
316	0.2496348097
317	0.2488403003
318	0.2480156632
319	0.2473094116
320	0.2468328835
321	0.2459276818
322	0.2455272798
323	0.2448920703
324	0.2441239495
325	0.2430860785
326	0.2424281657
327	0.2415644433
328	0.2409862881
329	0.2404799552
330	0.2399148732
331	0.2393086616
332	0.2387938283
333	0.2382090289
334	0.2376993873
335	0.237187217
336	0.2365166076
337	0.2357010626
338	0.2352487173
339	0.2347779726
340	0.2343020363
341	0.2334322884
342	0.2328658883
343	0.2322549962
344	0.2314222354
345	0.2309804886
346	0.2300615949
347	0.2292697216
348	0.2287512569
349	0.2282133436
350	0.2277256252
351	0.227406003
352	0.2266295971
353	0.2259239911
354	0.2253516866
355	0.2246845204
356	0.2242423297
357	0.2235269591
358	0.2226504191
359	0.2220862114
360	0.2214128851
361	0.2208912596
362	0.2201417937
363	0.2194662885
364	0.2190411926
365	0.2187129625
366	0.2183192451
367	0.2178934363
368	0.2172495921
369	0.2165440265
370	0.216169085
371	0.2155132973
372	0.214829507
373	0.2144604028
374	0.2139954954
375	0.2136404059
376	0.2127144915
377	0.2122075129
378	0.2115563116
379	0.2110264413
380	0.2104310031
381	0.2101762092
382	0.2096328622
383	0.2092129848
384	0.2084623757
385	0.208097831
386	0.2077899236
387	0.2073687685
388	0.2069127379
389	0.2066198002
390	0.2059116791
391	0.2055665022
392	0.2048407619
393	0.2043728013
394	0.2040718744
395	0.2037023398
396	0.2032543253
397	0.202950574
398	0.2025221963
399	0.2018371552
400	0.2014595507
401	0.2008467352
402	0.2000749964
403	0.1997760735
404	0.1992256653
405	0.1989756057
406	0.1983217279
407	0.1974788125
408	0.197175209
409	0.1967371609
410	0.196385945
411	0.1959227053
412	0.1952822773
413	0.1949411085
414	0.1945645127
415	0.1943500684
416	0.1938858603
417	0.1933987068
418	0.1929463346
419	0.1925641437
420	0.1917083029
421	0.1910788366
422	0.1906574797
423	0.1903481466
424	0.1899797822
425	0.1893931401
426	0.1887340034
427	0.1882372467
428	0.1878459368
429	0.1873263961
430	0.1867836409
431	0.1862864
432	0.1859421646
433	0.1854007947
434	0.1848401378
435	0.1845447791
436	0.1839782177
437	0.1834901227
438	0.1830599427
439	0.1827044633
440	0.1823650832
441	0.1820766916
442	0.1816080854
443	0.1814162368
444	0.1810571124
445	0.1805778539
446	0.1802928516
447	0.1799769281
448	0.1794175086
449	0.1789682433
450	0.1783376471
451	0.1777278848
452	0.1773647389
453	0.1769349356
454	0.1763245814
455	0.1760180459
456	0.1757498694
457	0.1754826075
458	0.1750643575
459	0.1747286762
460	0.1743425445
461	0.1738830708
462	0.1732292871
463	0.172478947
464	0.1720272472
465	0.1718012898
466	0.1714537323
467	0.1709084619
468	0.1704333326
469	0.1701577856
470	0.1697219567
471	0.1692911446
472	0.1688977499
473	0.168362029
474	0.1678113653
475	0.1673448977
476	0.1667403674
477	0.1664327021
478	0.1661816472
479	0.1658522739
480	0.165416445
481	0.1651338771
482	0.1648686595
483	0.1641932485
484	0.1637809837
485	0.1634412944
486	0.1630873751
487	0.1625526763
488	0.1623100007
489	0.1617566874
490	0.1610614244
491	0.1607683387
492	0.1604175532
493	0.1601644271
494	0.1596654108
495	0.1592166835
496	0.1588685342
497	0.158595973
498	0.1582319932
499	0.1579380333
